"cz","Name","Fraction_College_Graduates_in_2012-16"
"cz27101","Willmar, MN",0.1984
"cz27007","Huron, SD",0.1984
"cz33601","Lawton, OK",0.1983
"cz21802","Decorah, IA",0.1982
"cz27008","Parkston, SD",0.1979
"cz31006","Guymon, KS & OK & TX",0.1976
"cz4901","Jackson, TN",0.1973
"cz26204","Steele, ND",0.197
"cz11500","Jackson, MI",0.1968
"cz33902","Sherman, OK & TX",0.1967
"cz30901","Clovis, NM & TX",0.1963
"cz26409","Glendive, MT & ND",0.1961
"cz29101","Concordia, KS",0.1961
"cz6302","Cookeville, TN",0.1961
"cz28502","Pueblo, CO",0.196
"cz27402","Fort Dodge, IA",0.1959
"cz29503","St. Joseph, KS & MO",0.1954
"cz27801","Columbus-Norfolk, NE",0.1953
"cz33300","Tyler, TX",0.1949
"cz3800","Lafayette, LA",0.1948
"cz29005","Hutchinson, KS",0.1947
"cz16400","Youngstown, OH & PA",0.1946
"cz34801","Las Vegas, NM",0.1946
"cz34305","Miles City, MT",0.1941
"cz31401","Midland, TX",0.1938
"cz26301","Devils Lake, ND",0.1934
"cz21102","Amery, WI",0.1932
"cz27009","Chamberlain, SD",0.1931
"cz9600","LaGrange, AL & GA",0.193
"cz25701","Cape Girardeau, MO",0.193
"cz3901","Monroe, LA",0.1926
"cz13800","Wayne, IN",0.1924
"cz30200","Muskogee, OK",0.1921
"cz34601","Gillette, WY",0.1918
"cz22002","Iowa Falls, IA",0.1916
"cz11403","Sault Ste. Marie, MI",0.1914
"cz26102","Marshall, MO",0.1913
"cz27002","Ord, NE",0.1913
"cz34104","Bristol Bay, AK",0.1911
"cz2700","Gulfport, MS",0.191
"cz21900","Marshalltown, IA",0.1908
"cz34502","Libby, MT",0.1908
"cz27903","Grand Island, NE",0.1906
"cz19903","Chincoteague, VA",0.1901
"cz29401","Ottawa, KS",0.1901
"cz14000","Muncie, IN",0.19
"cz34604","Lusk, WY",0.1899
"cz27503","Atlantic, IA",0.1898
"cz10302","Dothan, AL",0.1895
"cz18900","Williamsport, PA",0.1893
"cz17100","Huntington, KY & OH & WV",0.1892
"cz15000","Canton, OH",0.1888
"cz27401","Storm Lake, IA",0.1885
"cz27802","Columbus, NE",0.1884
"cz21101","Rice Lake, WI",0.1883
"cz2100","Washington, NC",0.1881
"cz27603","Southwest Jackson UT, SD",0.188
"cz29303","Winfield, KS",0.188
"cz10501","Columbus, AL & MS",0.188
"cz36901","Crescent City, CA & OR",0.1879
"cz33602","Altus, OK",0.1878
"cz11102","Troy, AL",0.1877
"cz36403","Soda Springs, ID",0.1873
"cz25000","Quincy, IL & MO",0.1868
"cz26702","Grafton, MN & ND",0.1863
"cz18201","Olean, NY & PA",0.1862
"cz18700","Sunbury, PA",0.1858
"cz29003","Dodge City, KS",0.1855
"cz28201","Red Oak, IA",0.1855
"cz36501","Klamath Falls, CA & OR",0.1847
"cz29004","Great Bend, KS",0.1842
"cz31700","Corpus Christi, TX",0.1841
"cz36600","Redding, CA",0.184
"cz25900","Jonesboro, AR",0.1837
"cz27003","Ainsworth, NE",0.1837
"cz15600","Wheeling, OH & WV",0.1837
"cz26001","Roseau, MN",0.1836
"cz800","Gastonia, NC",0.1834
"cz34202","Shelby, MT",0.1833
"cz3700","Lake Charles, LA",0.1833
"cz21702","Austin, MN",0.1829
"cz13000","Elizabethtown, KY",0.1828
"cz26004","International Falls, MN",0.1826
"cz29102","Superior, NE",0.1823
"cz6800","Lakeland, FL",0.1821
"cz25401","Paducah, IL & KY",0.1821
"cz15300","Parkersburg, OH & WV",0.1818
"cz26104","Trenton, MO",0.1816
"cz23802","Clinton, IA",0.1815
"cz4800","Greenville, MS",0.1814
"cz16200","Altoona, PA",0.1813
"cz24200","Bourbonnais, IL",0.1809
"cz29202","Marysville, KS",0.1807
"cz13300","Findlay, OH",0.1806
"cz26202","East Grant UT, ND",0.1806
"cz28002","West Point, NE",0.1805
"cz14400","Terre Haute, IN",0.1804
"cz28301","Sterling, CO",0.1801
"cz23302","Douglas, IL",0.18
"cz20003","Presque Isle, ME",0.1799
"cz8503","Valdosta, GA",0.1799
"cz34001","Hot Springs, AR",0.1798
"cz38602","Colville, WA",0.1796
"cz26703","Thief River Falls, MN",0.1796
"cz21003","Ironwood, MI & WI",0.1796
"cz12800","Washington, IN",0.1789
"cz29602","Eldon, MO",0.1789
"cz7800","Ocala, FL",0.1788
"cz8000","Sumter, SC",0.1783
"cz27302","Fairmont, IA & MN",0.1779
"cz30701","Roswell, NM",0.1778
"cz28607","McCook, NE",0.1778
"cz32701","Brownwood, TX",0.1777
"cz6501","Ellijay, GA",0.1776
"cz30603","Truth or Consequences, NM",0.1773
"cz31005","Perryton, TX",0.1772
"cz26602","Sisseton, SD",0.1771
"cz21201","Hutchinson, MN",0.177
"cz31001","Garden City, KS",0.1765
"cz27502","Creston, IA",0.1764
"cz4701","Greenwood, MS",0.1763
"cz25500","Centralia, IL",0.1755
"cz31102","La Grange, TX",0.1754
"cz34501","Bonners Ferry, ID",0.1753
"cz25300","Union City, KY & TN",0.175
"cz11402","Marinette, MI & WI",0.1749
"cz35904","Richfield, UT",0.1747
"cz18202","St. Marys, PA",0.1745
"cz39000","Yakima, WA",0.1741
"cz5000","Tupelo, MS",0.1741
"cz30907","Matador, TX",0.174
"cz13400","Lima, OH",0.1739
"cz5700","Tullahoma, TN",0.1736
"cz28609","Lexington, NE",0.1735
"cz35902","Price, UT",0.173
"cz33400","Longview, TX",0.1729
"cz26305","Rugby, ND",0.1729
"cz16703","Buckhannon, WV",0.1725
"cz36503","Lakeview, OR",0.1724
"cz23600","Burlington, IA & IL & MO",0.1723
"cz33802","Chickasha, OK",0.172
"cz27504","Carroll, IA",0.1715
